,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
245,0.033,0.0068,0.026,0.75,0.1,15,0.15,0.1,2.0,0.075,40,0.5527,0.2623
246,0.165,0.0068,0.026,0.75,0.1,15,0.15,0.1,1.2,0.075,40,0.0619,0.0085
247,0.099,0.0068,0.078,0.75,0.1,15,0.15,0.02,2.0,0.075,40,0.5752,0.2062
248,0.165,0.034,0.026,0.45,0.1,15,0.15,0.06,1.2,0.075,40,0.6407,0.1557
249,0.165,0.034,0.026,0.15,0.1,15,0.15,0.02,2.0,0.075,40,0.7213,0.0419
250,0.099,0.034,0.078,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.23,0.1592
251,0.099,0.0204,0.026,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.1349,0.1014
252,0.099,0.0068,0.026,0.75,0.3,15,0.15,0.1,1.2,0.075,40,1.0961,0.1045
253,0.165,0.034,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,0.92,0.0448
254,0.099,0.034,0.078,0.75,0.1,9,0.15,0.02,2.0,0.075,40,1.0487,0.0228
255,0.165,0.0204,0.026,0.45,0.1,9,0.15,0.1,2.0,0.075,40,0.8285,0.0159
256,0.099,0.0204,0.026,0.75,0.3,9,0.15,0.06,2.0,0.075,40,1.3034,0.0091
257,0.099,0.034,0.026,0.75,0.1,15,0.15,0.02,2.0,0.075,40,0.3882,0.0549
258,0.033,0.0204,0.026,0.75,0.1,15,0.15,0.1,2.0,0.075,40,0.5673,0.0254
259,0.099,0.0204,0.078,0.75,0.1,15,0.15,0.02,2.0,0.075,40,0.5624,0.2278
